power [kw],Time
126.91,2020 01 24 00:00:00
119.11,2020 01 24 01:00:00
114.76,2020 01 24 02:00:00
113.13,2020 01 24 03:00:00
141.51,2020 01 24 04:00:00
198.69,2020 01 24 05:00:00
265.92,2020 01 24 06:00:00
234.4,2020 01 24 07:00:00
219.01,2020 01 24 08:00:00
179.94,2020 01 24 09:00:00
138.33,2020 01 24 10:00:00
137.4,2020 01 24 11:00:00
126.45,2020 01 24 12:00:00
118.5,2020 01 24 13:00:00
113.09,2020 01 24 14:00:00
128.65,2020 01 24 15:00:00
237.01,2020 01 24 16:00:00
369.06,2020 01 24 17:00:00
394.67,2020 01 24 18:00:00
382.34,2020 01 24 19:00:00
378.58,2020 01 24 20:00:00
310.34,2020 01 24 21:00:00
222.02,2020 01 24 22:00:00
147.43,2020 01 24 23:00:00
101.94,2020 01 25 00:00:00
96.85,2020 01 25 01:00:00
96.46,2020 01 25 02:00:00
100.73,2020 01 25 03:00:00
131.34,2020 01 25 04:00:00
188.34,2020 01 25 05:00:00
256.3,2020 01 25 06:00:00
223.09,2020 01 25 07:00:00
205.27,2020 01 25 08:00:00
166.56,2020 01 25 09:00:00
120.63,2020 01 25 10:00:00
109.7,2020 01 25 11:00:00
95.67,2020 01 25 12:00:00
86.4,2020 01 25 13:00:00
80.72,2020 01 25 14:00:00
97.86,2020 01 25 15:00:00
208.32,2020 01 25 16:00:00
340.27,2020 01 25 17:00:00
365.35,2020 01 25 18:00:00
352.64,2020 01 25 19:00:00
346.57,2020 01 25 20:00:00
275.42,2020 01 25 21:00:00
187.11,2020 01 25 22:00:00
113.53,2020 01 25 23:00:00
67.94,2020 01 26 00:00:00
61.28,2020 01 26 01:00:00
57.07,2020 01 26 02:00:00
54.78,2020 01 26 03:00:00
81.46,2020 01 26 04:00:00
139.06,2020 01 26 05:00:00
205.9,2020 01 26 06:00:00
173.7,2020 01 26 07:00:00
160.91,2020 01 26 08:00:00
123.01,2020 01 26 09:00:00
82.84,2020 01 26 10:00:00
79.2,2020 01 26 11:00:00
66.33,2020 01 26 12:00:00
57.62,2020 01 26 13:00:00
53.0,2020 01 26 14:00:00
67.39,2020 01 26 15:00:00
160.78,2020 01 26 16:00:00
305.21,2020 01 26 17:00:00
330.87,2020 01 26 18:00:00
318.81,2020 01 26 19:00:00
313.28,2020 01 26 20:00:00
243.23,2020 01 26 21:00:00
153.81,2020 01 26 22:00:00
78.3,2020 01 26 23:00:00
31.88,2020 01 27 00:00:00
24.13,2020 01 27 01:00:00
20.1,2020 01 27 02:00:00
18.26,2020 01 27 03:00:00
44.8,2020 01 27 04:00:00
102.37,2020 01 27 05:00:00
169.88,2020 01 27 06:00:00
138.31,2020 01 27 07:00:00
127.59,2020 01 27 08:00:00
90.95,2020 01 27 09:00:00
53.14,2020 01 27 10:00:00
55.17,2020 01 27 11:00:00
50.44,2020 01 27 12:00:00
53.71,2020 01 27 13:00:00
58.6,2020 01 27 14:00:00
78.43,2020 01 27 15:00:00
174.55,2020 01 27 16:00:00
320.29,2020 01 27 17:00:00
347.09,2020 01 27 18:00:00
335.57,2020 01 27 19:00:00
331.09,2020 01 27 20:00:00
261.86,2020 01 27 21:00:00
175.12,2020 01 27 22:00:00
100.81,2020 01 27 23:00:00
55.13,2020 01 28 00:00:00
49.1,2020 01 28 01:00:00
47.42,2020 01 28 02:00:00
46.28,2020 01 28 03:00:00
73.47,2020 01 28 04:00:00
132.61,2020 01 28 05:00:00
201.19,2020 01 28 06:00:00
168.2,2020 01 28 07:00:00
127.52,2020 01 28 08:00:00
90.68,2020 01 28 09:00:00
51.09,2020 01 28 10:00:00
51.33,2020 01 28 11:00:00
51.02,2020 01 28 12:00:00
45.56,2020 01 28 13:00:00
42.74,2020 01 28 14:00:00
60.23,2020 01 28 15:00:00
156.35,2020 01 28 16:00:00
333.17,2020 01 28 17:00:00
362.88,2020 01 28 18:00:00
352.77,2020 01 28 19:00:00
349.52,2020 01 28 20:00:00
281.94,2020 01 28 21:00:00
197.37,2020 01 28 22:00:00
124.08,2020 01 28 23:00:00
76.78,2020 01 29 00:00:00
69.9,2020 01 29 01:00:00
67.1,2020 01 29 02:00:00
65.75,2020 01 29 03:00:00
91.16,2020 01 29 04:00:00
146.62,2020 01 29 05:00:00
212.62,2020 01 29 06:00:00
177.89,2020 01 29 07:00:00
135.39,2020 01 29 08:00:00
94.5,2020 01 29 09:00:00
53.08,2020 01 29 10:00:00
51.7,2020 01 29 11:00:00
46.61,2020 01 29 12:00:00
38.79,2020 01 29 13:00:00
35.46,2020 01 29 14:00:00
52.06,2020 01 29 15:00:00
146.93,2020 01 29 16:00:00
321.63,2020 01 29 17:00:00
351.18,2020 01 29 18:00:00
340.73,2020 01 29 19:00:00
336.0,2020 01 29 20:00:00
266.89,2020 01 29 21:00:00
181.37,2020 01 29 22:00:00
109.32,2020 01 29 23:00:00
65.66,2020 01 30 00:00:00
61.85,2020 01 30 01:00:00
61.38,2020 01 30 02:00:00
63.6,2020 01 30 03:00:00
94.15,2020 01 30 04:00:00
154.0,2020 01 30 05:00:00
221.53,2020 01 30 06:00:00
192.18,2020 01 30 07:00:00
176.12,2020 01 30 08:00:00
136.75,2020 01 30 09:00:00
98.11,2020 01 30 10:00:00
95.91,2020 01 30 11:00:00
89.12,2020 01 30 12:00:00
85.4,2020 01 30 13:00:00
82.46,2020 01 30 14:00:00
100.13,2020 01 30 15:00:00
196.3,2020 01 30 16:00:00
341.92,2020 01 30 17:00:00
367.32,2020 01 30 18:00:00
358.29,2020 01 30 19:00:00
357.16,2020 01 30 20:00:00
289.28,2020 01 30 21:00:00
203.87,2020 01 30 22:00:00
133.27,2020 01 30 23:00:00
90.64,2020 01 31 00:00:00
87.2,2020 01 31 01:00:00
87.44,2020 01 31 02:00:00
89.13,2020 01 31 03:00:00
119.16,2020 01 31 04:00:00
179.8,2020 01 31 05:00:00
248.28,2020 01 31 06:00:00
213.51,2020 01 31 07:00:00
192.84,2020 01 31 08:00:00
149.33,2020 01 31 09:00:00
101.66,2020 01 31 10:00:00
